document_title,source_url,document_type,session,date,year,question_number,asked_by,minister,section,question_text,parts_count
"Friday, 5th November, 2021",https://www.parliament.gov.zm/node/9879,Order Paper,FIRST SESSION OF THE THIRTEENTH ASSEMBLY,,,77,Ms Katuta (Chienge),Minister of Water Development and Sanitation,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 74),(a) when the construction of water reservoirs in Chienge District will commence; (b) how many reservoirs are earmarked for construction; (c) what the cause of the delay in commencing the project is; (d) what the cost of the project is; (e) what the time frame for the completion of the project is; and (f) when piped water will be provided to the residential areas around the district headquarters.,6
"Friday, 5th November, 2021",https://www.parliament.gov.zm/node/9879,Order Paper,FIRST SESSION OF THE THIRTEENTH ASSEMBLY,,,78,Mr Kamondo (Mufumbwe),"Minister of Infrastructure, Housing and Urban Development",QUESTIONS FOR ORAL ANSWER (STANDING ORDER 74),(a) why the construction of Lunga Mini-Hospital in Kasempa District has stalled for over 10 years; (b) when the construction works will resume; (c) what the cost of the outstanding works is; and (d) what the time frame for the completion of the outstanding works is.,4
"Friday, 5th November, 2021",https://www.parliament.gov.zm/node/9879,Order Paper,FIRST SESSION OF THE THIRTEENTH ASSEMBLY,,,79,Ms Katuta (Chienge),Minister of Education,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 74),"(a) whether the Government has any plans to construct additional secondary schools in the following Wards in Chienge Parliamentary Constituency: (i) Lunchinda; (ii) Chibamba; (iii) Chipungu; (iv) Lua; (v) Chienge; (vi) Ifuna; and (vii) Chipamba; (b) if so, when the plans will be implemented; and (c) if there are no such plans, why. ORDER OF THE DAY 1. Supply - Motion (29th October) - Resumption of Debate: (Mr Miyutu, MP) ___________________________",5
"Thursday, 17th September, 2020",https://www.parliament.gov.zm/node/8452,Order Paper,FIFTH SESSION OF THE TWELFTH ASSEMBLY,,,16,Mr Chaatila (Moomba),Minister of Housing and Infrastructure Development,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 30),"(a) whether the Government has any plans to rehabilitate the Monze - Chivuna road in Monze District which is in a deplorable state; (b) if so, when the plans will be implemented; and (c) if there are no such plans, why.",3
"Thursday, 17th September, 2020",https://www.parliament.gov.zm/node/8452,Order Paper,FIFTH SESSION OF THE TWELFTH ASSEMBLY,,,17,Mr Zimba (Chasefu),Minister of Housing and Infrastructure Development,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 30),(a) why the construction of the Chasefu Boarding Secondary School in Chasefu District has stalled; (b) when the works will resume; (c) who the contractor for the project is; and (d) what the scope of the outstanding works is.,4
"Thursday, 17th September, 2020",https://www.parliament.gov.zm/node/8452,Order Paper,FIFTH SESSION OF THE TWELFTH ASSEMBLY,,,18,Mr Michelo (Bweengwa),Minister of General Education,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 30),"(a) whether the Government has any plans to introduce free education from grade one to tertiary level in public learning institutions; (b) if so, when the plans will be implemented; and (c) if there are no such plans, why.",3
"Thursday, 17th September, 2020",https://www.parliament.gov.zm/node/8452,Order Paper,FIFTH SESSION OF THE TWELFTH ASSEMBLY,,,19,Mr Mbulakulima (Milenge),Minister of Energy,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 30),"(a) whether the Government has any plans to extend the rural electrification project to Mwanguni area in Milenge District; (b) if so, when the plans will be implemented; (c) what the estimated cost of the project is; and (d) if there are no such plans, why.",4
"Thursday, 17th September, 2020",https://www.parliament.gov.zm/node/8452,Order Paper,FIFTH SESSION OF THE TWELFTH ASSEMBLY,,,20,Mr Miyutu (Kalabo Central),Minister of Information and Broadcasting,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 30),"(a) which provinces had television stations established as of June, 2020; (b) when television stations will be established in the remaining provinces; (c) what the challenges of establishing provincial television stations are; (d) what measures the Government is taking to expedite the establishment of provincial television stations in the remaining provinces; and (e) what the time frame for the completion of the exercise is.",5
"Thursday, 17th September, 2020",https://www.parliament.gov.zm/node/8452,Order Paper,FIFTH SESSION OF THE TWELFTH ASSEMBLY,,,21,Mr S Tembo (Chadiza),Minister of Lands and Natural Resources,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 30),"(a) whether the Government has any plans to repossess the land owned by the Tobacco Board of Zambia in Chadiza District which has been idle, and redistribute it to local people engaged in tobacco farming; (b) if so, when the plans will be implemented; and (c) if there are no such plans, why.",3
"Thursday, 17th September, 2020",https://www.parliament.gov.zm/node/8452,Order Paper,FIFTH SESSION OF THE TWELFTH ASSEMBLY,,,22,Mr Nanjuwa (Mumbwa),"Minister of Works and Supply how much money was spent on repairing and servicing of Government motor vehicles from 2015 to 2019, year by year.",QUESTIONS FOR ORAL ANSWER (STANDING ORDER 30),,0
"Thursday, 17th September, 2020",https://www.parliament.gov.zm/node/8452,Order Paper,FIFTH SESSION OF THE TWELFTH ASSEMBLY,,,23,Mrs M L Phiri (Chilanga),Minister of Local Government,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 30),"(a) whether the Government has any plans to construct a bus station and modern market in Chilanga District; and (b) if so, when the plans will be implemented.",2
"Thursday, 17th September, 2020",https://www.parliament.gov.zm/node/8452,Order Paper,FIFTH SESSION OF THE TWELFTH ASSEMBLY,,,24,Dr Musokotwane (Liuwa),Minister of Housing and Infrastructure Development,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 30),"(a) whether the Government has any plans to construct a bridge across Luanginga River between Kalabo and Liuwa; (b) if so, when the plans will be implemented; and (c) if there are no such plans, why.",3
"Thursday, 17th September, 2020",https://www.parliament.gov.zm/node/8452,Order Paper,FIFTH SESSION OF THE TWELFTH ASSEMBLY,,,25,Mr Mutale (Chitambo),Minister of Local Government,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 30),"(a) whether the Government has any plans to rehabilitate feeder roads in Chitambo Parliamentary Constituency in 2020; (b) if so, which roads are earmarked for rehabilitation; and (c) when works will commence. QUESTION FOR WRITTEN ANSWER W4 Mr Chabi (Chipili)    -   to ask the Minister of Housing and Infrastructure Development: (a) how many roads, under the Link Zambia 8000 Project, were completed as of July, 2020; (b) what the names of the roads are; (c) what the total number of kilometres of the completed roads was; and (d) what the names of the remaining roads are. NOTICE OF MOTION The Vice President Restore Bills onto the Order Paper: That, in terms of Standing Order 126 (1) of the National Assembly of Zambia Standing Orders, 2016, this House restores, onto the Order Paper, the following Bills presented to the House in the previous Sessions of the Twelfth National Assembly: (i) The Constitution of Zambia (Amendment) Bill, N.A.B. 10 of 2019; (ii) The National Planning and Budgeting Bill, N.A.B. 22 of 2019; (iii) The National Forensic Bill, N.A.B. 1 of 2020; (iv) The Food and Nutrition Bill, N.A.B. 2 of 2020; (v) The Patents and Companies Registration Agency Bill, N.A.B. 3 of 2020; (vi) The Landlord and Tenant (Business Premises) (Amendment) Bill, N.A.B. 4 of 2020; (vii) The National Council for Construction Bill, N.A.B. 5 of 2020; and (viii) The Food Reserve Bill, N.A.B. 6 of 2020. ORDER OF THE DAY Thanks - His Excellency the President’s Address - Motion (15th September) - Resumption of Debate. __________________________",9
"Thursday, 28th February, 2019",https://www.parliament.gov.zm/node/7892,Order Paper,THIRD SESSION OF THE TWELFTH ASSEMBLY,,,281,Mr Miyutu (Kalabo Central),Minister of General Education,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 30),(a) why the School Feeding Programme in Kalabo District has stalled; (b) how many schools are affected by the stoppage; (c) when the Programme will resume; and (d) what measures are being taken to ensure sustainability of the Programme.,4
"Thursday, 28th February, 2019",https://www.parliament.gov.zm/node/7892,Order Paper,THIRD SESSION OF THE TWELFTH ASSEMBLY,,,282,Mr Ng’onga (Kaputa),Minister of Tourism and Arts,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 30),"(a) what the total area, in hectares, the Mweru Wantipa National Park is; (b) how many hectares of the land had been encroached on by the local people as of October, 2018; (c) whether the Government has any plans to degazette the portion of the land that has been encroached on; and (d) if so, when the plans will be implemented.",4
"Thursday, 28th February, 2019",https://www.parliament.gov.zm/node/7892,Order Paper,THIRD SESSION OF THE TWELFTH ASSEMBLY,,,283,Dr Chanda (Bwana Mkubwa),Minister of General Education,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 30),"(a) whether the Government has any plans to train more teachers for children with special needs; (b) if so, when the plans will be implemented; (c) whether the Government has any plans to construct more classrooms in primary and secondary schools countrywide to accommodate children with special needs; and (d) if so, when the plans will be implemented.",4
"Thursday, 28th February, 2019",https://www.parliament.gov.zm/node/7892,Order Paper,THIRD SESSION OF THE TWELFTH ASSEMBLY,,,284,Evangelist Shabula (Itezhi Tezhi),Minister of Home Affairs,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 30),"(a) whether the Government has any plans to construct a modern police station and police officers’ houses in Itezhi Tezhi District; (b) if so, when the plans will be implemented; and (c) if there are no such plans, why.",3
"Thursday, 28th February, 2019",https://www.parliament.gov.zm/node/7892,Order Paper,THIRD SESSION OF THE TWELFTH ASSEMBLY,,,285,Mr Miyutu (Kalabo Central),Minister of Local Government,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 30),"(a) how many districts in the Western Province currently have Ward Development Committees (WDCs) in place; (b) why the establishment of WDCs was discontinued; (c) whether the Government has any plans to reintroduce WDCs in districts where they are not in existence in the Province; and (d) if so, when the plans will be implemented.",4
"Thursday, 28th February, 2019",https://www.parliament.gov.zm/node/7892,Order Paper,THIRD SESSION OF THE TWELFTH ASSEMBLY,,,286,Mr Miyutu (Kalabo Central),"Minister of Commerce, Trade and Industry",QUESTIONS FOR ORAL ANSWER (STANDING ORDER 30),"(a) what the total number of registered co-operative societies in Kalabo District was, as of 31st December, 2018; (b) whether there are any empowerment programmes for the co-operative societies in the District; and (c) if so, what the programmes are.",3
"Thursday, 28th February, 2019",https://www.parliament.gov.zm/node/7892,Order Paper,THIRD SESSION OF THE TWELFTH ASSEMBLY,,,287,Mr Kamboni (Kalomo Central),Minister of Health,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 30),(a) when Mabuyu and R R Health Posts in Kalomo Central Parliamentary Constituency will be opened to the public; (b) what has caused the delay in opening the Health Posts; (c) when medical staff will be deployed to the Health Posts; and (d) whether the contractors for the projects have been paid in full.,4
"Thursday, 28th February, 2019",https://www.parliament.gov.zm/node/7892,Order Paper,THIRD SESSION OF THE TWELFTH ASSEMBLY,,,288,Mr Mukosa (Chinsali),Minister of Agriculture,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 30),"(a) whether the Food Reserve Agency paid all the farmers who supplied maize during the 2016/2017 crop marketing season; (b) if not, how much money is still outstanding; (c) how many farmers are affected; and (d) when the affected farmers will be paid. ___________________________",4
"Thursday, 25th July, 2024",https://www.parliament.gov.zm/node/11824,Order Paper,THIRD SESSION OF THE THIRTEENTH ASSEMBLY,,,397,Mr Fube (Chilubi),Minister of Green Economy and Environment,6. QUESTIONS FOR ORAL ANSWER (STANDING ORDER 80),"(a) whether the Government has any plans to develop a rural based ecological policy for mitigating climate change; (b) if so, when the plans will be implemented; and (c) whether such a policy will be supported by a legislative framework.",3
"Thursday, 25th July, 2024",https://www.parliament.gov.zm/node/11824,Order Paper,THIRD SESSION OF THE THIRTEENTH ASSEMBLY,,,398,Mr Munsanje (Mbabala),Minister of Health when the following health posts in Mbabala Parliamentary Constituency will be operationalised,6. QUESTIONS FOR ORAL ANSWER (STANDING ORDER 80),(a) Kachenje in Nchembe Ward; (b) Nabukowa in Nchembe Ward; (c) Katumbi in Mutanga Ward; (d) Hakaloba in Simaubi Ward; (e) Mwanachewu in Mang’unza Ward; (f) Halumba in Ng’onga Ward; (g) Kaseko in Macha Ward; (h) Namiyanda in Kabimba Ward; (i) Maubwe in Mbabala Ward; and (j) Mayobo in Kabanze-Mayobo Ward.,10
"Thursday, 25th July, 2024",https://www.parliament.gov.zm/node/11824,Order Paper,THIRD SESSION OF THE THIRTEENTH ASSEMBLY,,,399,Mr J Daka (Chadiza),"Minister of Home Affairs and Internal Security what measures the Government is implementing to enhance service delivery in the Police Service, countrywide.",6. QUESTIONS FOR ORAL ANSWER (STANDING ORDER 80),,0
"Thursday, 25th July, 2024",https://www.parliament.gov.zm/node/11824,Order Paper,THIRD SESSION OF THE THIRTEENTH ASSEMBLY,,,400,Mr Mutale (Chitambo),Minister of Education,6. QUESTIONS FOR ORAL ANSWER (STANDING ORDER 80),"(a) whether there are any secondary schools in Chitambo District that are earmarked for provision of internet connectivity; (b) if so, how many schools are earmarked for the exercise; (c) what the names of the schools are; and (d) when the project will commence.",4
"Thursday, 25th July, 2024",https://www.parliament.gov.zm/node/11824,Order Paper,THIRD SESSION OF THE THIRTEENTH ASSEMBLY,,,401,Mr Fube (Chilubi),Minister of Transport and Logistics,6. QUESTIONS FOR ORAL ANSWER (STANDING ORDER 80),"(a) whether the Government has any plans to clear canals leading to the following Wards in Chilubi Parliamentary Constituency: (i) Katamba; (vi) Mubemba; (ii) Chishiba; (vii) Chinkundu; (iii) Bumba; (viii) Chiloba; and (iv) Lwangwa; (ix) Mofu; (v) Kanama; (b) if so, when the plans will be implemented; (c) what the cost of the project is; and (d) if there are no such plans, why.",6
"Friday, 18th February, 2022",https://www.parliament.gov.zm/node/10002,Order Paper,FIRST SESSION OF THE THIRTEENTH ASSEMBLY,,,166,Mr Katakwe (Solwezi East),"Minister of Small and Medium Enterprise Development what measures the Government is taking to establish linkages between Small and Medium Enterprises (SMEs) and the following institutions, to accelerate the growth of SMEs",QUESTIONS FOR ORAL ANSWER (STANDING ORDER 74),"(a) banks; (b) Technical Education, Vocational and Entrepreneurship Training Authority; (c) Citizens Economic Empowerment Commission; and (d) Zambia Development Agency.",4
"Friday, 18th February, 2022",https://www.parliament.gov.zm/node/10002,Order Paper,FIRST SESSION OF THE THIRTEENTH ASSEMBLY,,,167,Ms Mabonga (Mfuwe),Minister of Local Government and Rural Development,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 74),(a) why the rehabilitation of the Chiundaponde - Muwele road in Mfuwe Parliamentary Constituency has stalled; (b) when the project will resume; and (c) what the cost of the outstanding works is.,3
"Friday, 18th February, 2022",https://www.parliament.gov.zm/node/10002,Order Paper,FIRST SESSION OF THE THIRTEENTH ASSEMBLY,,,168,Mr Mabenga (Mulobezi),Minister of Technology and Science,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 74),"(a) whether the Government has any plans to prohibit internet service providers from prescribing expiry dates for internet bundles purchased by customers; (b) if so, when the plans will be implemented; (c) whether the prohibition will be extended to air time minutes; and (d) if there are no such plans, why.",4
"Friday, 18th February, 2022",https://www.parliament.gov.zm/node/10002,Order Paper,FIRST SESSION OF THE THIRTEENTH ASSEMBLY,,,169,Mr Fube (Chilubi),Minister of Fisheries and Livestock,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 74),"(a) whether the Government has any plans to restock Lake Bangweulu with local fish species; (b) if so, when the plans will be implemented; and (c) what the estimated cost of the restocking programme is.",3
"Friday, 18th February, 2022",https://www.parliament.gov.zm/node/10002,Order Paper,FIRST SESSION OF THE THIRTEENTH ASSEMBLY,,,170,Mr Mapani (Namwala),"Minister of Infrastructure, Housing and Urban Development",QUESTIONS FOR ORAL ANSWER (STANDING ORDER 74),"(a) what the progress, in percentage terms, on the construction of the Monze - Niko road in Southern Province was, as of September, 2021; (b) why the construction works have stalled; (c) when the project will resume; (d) what the cost of the outstanding works is; and (e) what the time frame for the completion of the outstanding works is.",5
"Friday, 18th February, 2022",https://www.parliament.gov.zm/node/10002,Order Paper,FIRST SESSION OF THE THIRTEENTH ASSEMBLY,,,171,Ms Nakaponda (Isoka),Minister of Education,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 74),"(a) whether the Government has any plans to construct a secondary school in Nkombwa Ward in Isoka Parliamentary Constituency; (b) if so, when the plans will be implemented; and (c) if there are no such plans, why.",3
"Friday, 18th February, 2022",https://www.parliament.gov.zm/node/10002,Order Paper,FIRST SESSION OF THE THIRTEENTH ASSEMBLY,,,172,Mr Kolala (Lufubu),Minister of Fisheries and Livestock,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 74),"(a) whether the Government has any plans to implement livestock disease prevention programmes in Lufubu Parliamentary Constituency; (b) if so, when the plans will be implemented; and (c) when a motor vehicle will be procured for the Department of Livestock Development in  Ngabwe District to enhance its operations.",3
"Friday, 18th February, 2022",https://www.parliament.gov.zm/node/10002,Order Paper,FIRST SESSION OF THE THIRTEENTH ASSEMBLY,,,173,Mr Mwambazi (Bwana Mkubwa),Minister of Agriculture,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 74),"(a) whether the Government has any plans to include the following Cooperatives in Bwana Mkubwa Parliamentary Constituency as beneficiaries of the Farmer Input Support programme (FISP): (i) Kafunotoso; (ii) Bwana Nyina; (iii) Kavu; and (iv) Burning Fire; (b) if so, when the plans will be implemented; and (c) what the cause of the delay in including the cooperatives on FISP is.",4
"Friday, 18th February, 2022",https://www.parliament.gov.zm/node/10002,Order Paper,FIRST SESSION OF THE THIRTEENTH ASSEMBLY,,,174,Mr Mutale (Chitambo),Minister of Green Economy and Environment,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 74),"(a) whether the Government is aware of the illegal cutting of trees in Kanona Forest in Chitambo District; and (b) if so, what measures the Government is taking to curb the vice.",2
"Friday, 18th February, 2022",https://www.parliament.gov.zm/node/10002,Order Paper,FIRST SESSION OF THE THIRTEENTH ASSEMBLY,,,175,Mr Samakayi (Mwinilunga),Minister of Local Government and Rural Development,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 74),(a) when demolition of illegal structures in the following areas in Lusaka District will commence: (i) along the railway lines; (ii) in play parks; (iii) Libala Market; and (iv) under the Zesco pylons; and (b) what the cause of the delay in commencing the exercise is.,3
"Friday, 18th February, 2022",https://www.parliament.gov.zm/node/10002,Order Paper,FIRST SESSION OF THE THIRTEENTH ASSEMBLY,,,176,Ms Katuta (Chienge),Minister of Fisheries and Livestock,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 74),"(a) what alternative fishing methods the Government intends to provide to fishermen, countrywide, following the ban on the use of monofilament and multifilament nets of up to size 2.5mm; and (b) what other types of fishing equipment have been classified as illegal.",2
"Friday, 18th February, 2022",https://www.parliament.gov.zm/node/10002,Order Paper,FIRST SESSION OF THE THIRTEENTH ASSEMBLY,,,177,Mr Chonde (Milenge),"Minister of Infrastructure, Housing and Urban Development",QUESTIONS FOR ORAL ANSWER (STANDING ORDER 74),"(a) whether the Government has any plans to construct the Nsunga - Lungo Mukuta road in Milenge Parliamentary Constituency; (b) if so, when the plans will be implemented; (c) what the estimated cost of the project is; and (d) what the estimated time frame for the completion of the project is.",4
"Friday, 18th February, 2022",https://www.parliament.gov.zm/node/10002,Order Paper,FIRST SESSION OF THE THIRTEENTH ASSEMBLY,,,178,Mr Anakoka (Luena),Minister of Education,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 74),"(a) whether the Government has any plans to construct a boarding secondary school in Luena Parliamentary Constituency; (b) if so, when the plans will be implemented; and (c) if there are no such plans, why.",3
"Friday, 18th February, 2022",https://www.parliament.gov.zm/node/10002,Order Paper,FIRST SESSION OF THE THIRTEENTH ASSEMBLY,,,179,Mr Kandafula (Serenje),Minister of Local Government and Rural Development,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 74),(a) when tarring of township roads in Serenje District will commence; (b) what the cause of the delay in commencing the project is; (c) what the cost of the outstanding works is; and (d) what the time frame for the completion of the project is.,4
"Friday, 18th February, 2022",https://www.parliament.gov.zm/node/10002,Order Paper,FIRST SESSION OF THE THIRTEENTH ASSEMBLY,,,180,Ms Halwiindi (Kabwe Central),Minister of Green Economy and Environment,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 74),"(a) how many households had settled in Kangomba Forest in Kabwe District, as of September, 2021; (b) whether the Government has any plans to degazette the forest to provide for human settlement; (c) if so, when the plans will be implemented; and (d) if there are no such plans, why.",4
"Friday, 18th February, 2022",https://www.parliament.gov.zm/node/10002,Order Paper,FIRST SESSION OF THE THIRTEENTH ASSEMBLY,,,181,Mr Kolala (Lufubu),"Minister of Infrastructure, Housing and Urban Development",QUESTIONS FOR ORAL ANSWER (STANDING ORDER 74),(a) why the construction of the district administration offices in Ngabwe District has stalled; (b) when the project will resume; (c) what the total cost of the outstanding works is; and (d) what the time frame for the completion of the project is.,4
"Friday, 18th February, 2022",https://www.parliament.gov.zm/node/10002,Order Paper,FIRST SESSION OF THE THIRTEENTH ASSEMBLY,,,182,Mr Mtayachalo (Chama North),Minister of Education what measures the Government is taking to improve the teacher - pupil ratio at all schools in Chama North Parliamentary Constituency.,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 74),,0
"Friday, 18th February, 2022",https://www.parliament.gov.zm/node/10002,Order Paper,FIRST SESSION OF THE THIRTEENTH ASSEMBLY,,,183,Mr Miyutu (Kalabo Central),Minister of Energy,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 74),"(a) why some residents who paid Zesco Limited for electricity connections from as far back as 2018 in Kalabo District, have not had power connected to their premises; (b) how many applications were pending, as of September, 2021; (c) what the cause of the delay in connecting the premises is; and (d) when the premises will be connected.",4
"Friday, 18th February, 2022",https://www.parliament.gov.zm/node/10002,Order Paper,FIRST SESSION OF THE THIRTEENTH ASSEMBLY,,,184,Mr J Chibuye (Roan),"Minister of Youth, Sport and Arts",QUESTIONS FOR ORAL ANSWER (STANDING ORDER 74),"(a) why the construction of the youth resource centre in Roan Parliamentary Constituency has stalled; (b) when the project will resume; (c) what the time frame for the completion of the project is; and (d) whether on completion, the centre will be provided with the following: (i) tools; (ii) furniture; and (iii) instructors.",5
