document_title,source_url,document_type,session,date,year,question_number,asked_by,minister,section,question_text,parts_count,month,day_of_week,quarter,is_weekend,parliamentary_year,session_quarter,question_sequence,questions_per_day,mp_questions_total,mp_questions_this_year,mp_activity_rate,minister_questions_total,minister_questions_this_month,is_budget_season,is_election_year,text_length,word_count,sentence_count,avg_word_length,flesch_score,flesch_grade,sentiment_positive,sentiment_negative,sentiment_neutral,sentiment_compound,is_yes_no_question,is_how_question,is_why_question,is_what_question,is_when_question,is_where_question,urgency_score,contains_numbers,contains_percentages,contains_money,topic_health,topic_education,topic_infrastructure,topic_agriculture,topic_mining,topic_water,topic_energy,topic_security,topic_finance,topic_governance,multi_sector_question,sector_count,dominant_sector,has_geographic_focus,mp_name,constituency,mp_cleaned_name,mp_gender,province,is_urban_constituency,is_mining_region,is_border_province,has_title,name_length,has_multiple_names,mp_minister_interactions,minister_diversity,mp_diversity,mp_rank_by_activity,minister_rank_by_workload,province_questions_total,province_mp_count,province_avg_questions_per_mp,gender_questions_total,is_female_mp,mp_question_interval,mp_avg_question_interval,mp_consistent_questioner,minister_high_pressure,end_of_year_activity,start_of_year_activity
"Wednesday, 28th February, 2018",https://www.parliament.gov.zm/node/7392,Order Paper,SECOND SESSION OF THE TWELFTH ASSEMBLY,,,196,Dr Chibanda (Mufulira),Minister of Local Government,ORDINARY QUESTIONS FOR ORAL ANSWER (STANDING ORDER NO. 30),(a) how many constituencies were not paid the 2017 Constituency Development Fund (CDF) in full; (b) when the outstanding amount will be disbursed to all the affected constituencies; (c) when the process of approving the 2017 CDF Projects will be completed; and (d) when the 2018 CDF will be disbursed.,4,,,,0,,,,,8,,,43,,0,0,301,50,1,5.04,22.417,22.554000000000006,0.075,0.03,0.896,0.5267,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,health,1,Dr Chibanda (Mufulira),Mufulira,Chibanda,Unknown,Copperbelt,0,1,0,1,8,0,3,4,30,1166.5,1149.0,21,5,4.2,44,0,,,0,0,0,0
"Tuesday, 30th March, 2021",https://www.parliament.gov.zm/node/8855,Order Paper,FIFTH SESSION OF THE TWELFTH ASSEMBLY,,,148,Dr Chibanda (Mufulira),Minister of Local Government,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 30),"(a) when the process of transferring some functions of the Lusaka City Council from the Civic Centre to the mini-civic centres in the constituencies began; (b) how many mini-civic centres were under construction in Lusaka as of June, 2020; (c) how many centres were completed as of December, 2020; (d) what the challenges of expediting the works, if any, are; (e) when the centres will become functional; and (f) what services will be offered at the centres.",6,,,,0,,,,,8,,,43,,0,0,458,77,1,4.961038961038961,-5.361558441558429,33.136103896103904,0.017,0.0,0.983,0.0772,1,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,infrastructure,0,Dr Chibanda (Mufulira),Mufulira,Chibanda,Unknown,Copperbelt,0,1,0,1,8,0,3,4,30,1166.5,1149.0,21,5,4.2,44,0,,,0,0,0,0
"Friday, 19th July, 2019",https://www.parliament.gov.zm/node/8017,Order Paper,THIRD SESSION OF THE TWELFTH ASSEMBLY,,,477,Dr Chibanda (Mufulira),Minister of Works and Supply,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 30),"(a) what the total number of employees at the Engineering Services Corporation Limited (ESCO) was, as of March, 2019; (b) what measures the Government is taking to ensure that ESCO’s revenue base does not decrease after the completion of the construction of Kazungula Bridge; and (c) what other activities, besides operating pontoons, the Company is involved in.",3,,,,0,,,,,8,,,4,,0,0,362,57,1,5.368421052631579,0.5589473684210873,27.341754385964908,0.065,0.032,0.903,0.25,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,3,infrastructure,0,Dr Chibanda (Mufulira),Mufulira,Chibanda,Unknown,Copperbelt,0,1,0,1,8,0,1,4,4,1166.5,1623.5,21,5,4.2,44,0,,,0,0,0,0
"Tuesday, 16th February, 2021",https://www.parliament.gov.zm/node/8759,Order Paper,FIFTH SESSION OF THE TWELFTH ASSEMBLY,,,133,Dr Chibanda (Mufulira),Minister of Mines and Minerals Development,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 30),"(a) whether the Zambia Consolidated Copper Mines Investment Holdings (ZCCM-IH) had renewed the golden share held in the Mopani Copper Mines prior to Glencore, the majority shareholder, announcing their pull out from Mopani; (b) if the shareholding was not renewed, what the implications are; and (c) what prompted Glencore to leave Mopani Copper Mines when they were the majority shareholders.",3,,,,0,,,,,8,,,49,,0,0,393,60,1,5.566666666666666,7.755000000000024,27.083333333333332,0.036,0.02,0.945,0.25,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,mining,0,Dr Chibanda (Mufulira),Mufulira,Chibanda,Unknown,Copperbelt,0,1,0,1,8,0,3,4,33,1166.5,1103.0,21,5,4.2,44,0,,,0,0,0,0
"Friday, 30th April, 2021",https://www.parliament.gov.zm/node/8973,Order Paper,FIFTH SESSION OF THE TWELFTH ASSEMBLY,,,191,Dr Chibanda (Mufulira),Minister of Mines and Minerals Development,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 30),"(a) how many shares, in percentage terms, were held by the Zambia Consolidated Copper Mines Investment Holdings (ZCCM-IH) in Lumwana Mines, as of December, 2020; and (b) if there were no shares held, why.",2,,,,0,,,,,8,,,49,,0,0,204,34,1,5.029411764705882,47.91323529411767,15.022941176470592,0.117,0.059,0.824,0.296,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,mining,0,Dr Chibanda (Mufulira),Mufulira,Chibanda,Unknown,Copperbelt,0,1,0,1,8,0,3,4,33,1166.5,1103.0,21,5,4.2,44,0,,,0,0,0,0
"Tuesday, 17th September, 2019",https://www.parliament.gov.zm/node/8079,Order Paper,FOURTH SESSION OF THE TWELFTH ASSEMBLY,,,10,Dr Chibanda (Mufulira),Minister of Local Government,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 30),"(a) when markets and bus stations boards will be established, countrywide; (b) what has caused the delay in operationalising the Markets and Bus Stations Act No. 7 of 2007; and (c) what immediate measures the Government is taking to stop political party cadres from running markets and bus stations.",3,,,,0,,,,,8,,,43,,0,0,299,49,2,5.122448979591836,47.298112244897965,12.748673469387757,0.051,0.125,0.824,-0.4588,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,governance,0,Dr Chibanda (Mufulira),Mufulira,Chibanda,Unknown,Copperbelt,0,1,0,1,8,0,3,4,30,1166.5,1149.0,21,5,4.2,44,0,,,0,0,0,0
"Thursday, 13th February, 2020",https://www.parliament.gov.zm/node/8281,Order Paper,FOURTH SESSION OF THE TWELFTH ASSEMBLY,,,115,Dr Chibanda (Mufulira),Minister of Mines and Minerals Development,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 30),"(a) what the major causes of under production at Ndola Lime Company, are; (b) how much money the Government, through ZCCM-IH, invested in the Company from 2013 to 2018; (c) whether the Company is insolvent; (d) if so, whether the Government has any plans to either privatise or list the Company on the Lusaka Stock Exchange; and (e) when the new kiln at the Company will be commissioned.",5,,,,0,,,,,8,,,49,,0,0,387,68,1,4.705882352941177,8.426764705882363,28.977058823529408,0.0,0.0,1.0,0.0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,2,finance,0,Dr Chibanda (Mufulira),Mufulira,Chibanda,Unknown,Copperbelt,0,1,0,1,8,0,3,4,33,1166.5,1103.0,21,5,4.2,44,0,,,0,0,0,0
"Thursday, 29th April, 2021",https://www.parliament.gov.zm/node/8965,Order Paper,FIFTH SESSION OF THE TWELFTH ASSEMBLY,,,182,Dr Kopulande (Chembe),Minister of Health,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 30),"(a) how many patients were undergoing the following types of dialysis treatment at the University Teaching Hospital in Lusaka as of October, 2020: (i) hemodialysis; and (ii) peritoneal dialysis; and (b) what the cost of conducting each type of dialysis from January to October, 2020, was.",3,,,,0,,,,,2,,,173,,0,0,288,46,1,5.282608695652174,0.14065217391305396,24.667391304347827,0.0,0.0,1.0,0.0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,2,health,0,Dr Kopulande (Chembe),Chembe,Kopulande,Unknown,Unknown,0,0,0,1,9,0,2,1,95,1665.5,277.0,1291,196,6.586734693877551,44,0,,,0,1,0,0
"Friday, 5th February, 2021",https://www.parliament.gov.zm/node/8710,Order Paper,FIFTH SESSION OF THE TWELFTH ASSEMBLY,,,117,Dr Kopulande (Chembe),Minister of Health,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 30),"(a) how many dialysis machines there were at the University Teaching Hospital in Lusaka and other medical facilities, countrywide, as of December, 2020; (b) whether the machines were adequate to cater for all patients; and (c) if the machines were not adequate, when the shortfall will be met.",3,,,,0,,,,,2,,,173,,0,0,293,48,1,5.125,13.590000000000032,23.28833333333333,0.076,0.0,0.924,0.4215,1,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,2,health,0,Dr Kopulande (Chembe),Chembe,Kopulande,Unknown,Unknown,0,0,0,1,9,0,2,1,95,1665.5,277.0,1291,196,6.586734693877551,44,0,,,0,1,0,0
"Thursday, 27th February, 2020",https://www.parliament.gov.zm/node/8294,Order Paper,FOURTH SESSION OF THE TWELFTH ASSEMBLY,,,197,Dr M Malama (Kanchibiya),"Minister of Youth, Sport and Child Development",QUESTIONS FOR ORAL ANSWER (STANDING ORDER 30),"(a) whether the Government has any plans to present, to Parliament, a Bill on children’s rights for enactment; (b) if so, when the plans will be implemented; and (c) what has caused the delay in bringing, to the House, legislation that aims at protecting and promoting the rights of children.",3,,,,0,,,,,4,,,6,,0,0,292,50,1,4.86,32.56900000000002,21.138,0.048,0.044,0.907,0.0516,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,governance,0,Dr M Malama (Kanchibiya),Kanchibiya,M Malama,Unknown,Muchinga,0,0,1,1,8,0,1,4,6,1537.5,1586.5,140,9,15.555555555555555,44,0,,,0,0,0,0
"Friday, 14th February, 2020",https://www.parliament.gov.zm/node/8284,Order Paper,FOURTH SESSION OF THE TWELFTH ASSEMBLY,,,148,Dr M Malama (Kanchibiya),Minister of Housing and,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 30),"(a) when the Government will reconstruct the following bridges in Kanchibiya Parliamentary Constituency, which were damaged by heavy rains during the 2018/2019 rainy season: (i) Kabinga; and (ii) Kopa; and (b) when bridges will be constructed at the following crossing points: (i) Chibowo, across Kanchibiya River, connecting Mulonga to Aluni in Luchembe Chiefdom; and (ii) Kaonda, across Lwitikila River, connecting Kaonda Village to Mwansabamba Village.",4,,,,0,,,,,4,,,11,,0,0,455,65,1,6.015384615384615,-7.5153846153845905,30.45538461538462,0.0,0.062,0.938,-0.4939,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,2,infrastructure,1,Dr M Malama (Kanchibiya),Kanchibiya,M Malama,Unknown,Muchinga,0,0,1,1,8,0,1,4,11,1537.5,1544.0,140,9,15.555555555555555,44,0,,,0,0,0,0
"Tuesday, 17th March, 2020",https://www.parliament.gov.zm/node/8324,Order Paper,FOURTH SESSION OF THE TWELFTH ASSEMBLY,,,242,Dr M Malama (Kanchibiya),Minister of Housing and Infrastructure Development,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 31),"(a) whether the Government is aware that the Kopa-Mpika road in Kanchibiya Parliamentary Constituency has become almost impassable, following heavy rains; and (b) if so, what urgent measures are being taken to address the problem to avoid Kopa being cut off from Mpika.",2,,,,0,,,,,4,,,67,,0,0,269,43,1,5.27906976744186,19.56674418604652,21.21255813953488,0.043,0.146,0.811,-0.6022,1,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,1,2,infrastructure,1,Dr M Malama (Kanchibiya),Kanchibiya,M Malama,Unknown,Muchinga,0,0,1,1,8,0,1,4,44,1537.5,930.0,140,9,15.555555555555555,44,0,,,0,0,0,0
"Tuesday, 17th September, 2019",https://www.parliament.gov.zm/node/8079,Order Paper,FOURTH SESSION OF THE TWELFTH ASSEMBLY,,,19,Dr M Malama (Kanchibiya),Minister of Fisheries and Livestock,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 30),(a) whether the Goat Breeding Centre in Luchembe Chiefdom in Kanchibiya Parliamentary Constituency is operating as intended; (b) what the total number of employees deployed to the Centre is; and (c) how the Centre is benefiting the local community.,3,,,,0,,,,,4,,,69,,0,0,248,39,1,5.384615384615385,13.23461538461541,21.10205128205128,0.033,0.0,0.967,0.0772,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,health,1,Dr M Malama (Kanchibiya),Kanchibiya,M Malama,Unknown,Muchinga,0,0,1,1,8,0,1,4,40,1537.5,862.0,140,9,15.555555555555555,44,0,,,0,0,0,0
"Thursday, 17th September, 2020",https://www.parliament.gov.zm/node/8452,Order Paper,FIFTH SESSION OF THE TWELFTH ASSEMBLY,,,24,Dr Musokotwane (Liuwa),Minister of Housing and Infrastructure Development,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 30),"(a) whether the Government has any plans to construct a bridge across Luanginga River between Kalabo and Liuwa; (b) if so, when the plans will be implemented; and (c) if there are no such plans, why.",3,,,,0,,,,,10,,,67,,0,0,199,36,1,4.555555555555555,50.44500000000002,15.166666666666668,0.0,0.061,0.939,-0.296,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,2,infrastructure,0,Dr Musokotwane (Liuwa),Liuwa,Musokotwane,Unknown,Unknown,0,0,0,1,11,0,4,4,44,1055.5,930.0,1291,196,6.586734693877551,44,0,,,0,0,0,0
"Thursday, 27th February, 2020",https://www.parliament.gov.zm/node/8294,Order Paper,FOURTH SESSION OF THE TWELFTH ASSEMBLY,,,196,Dr Musokotwane (Liuwa),Minister of General Education,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 30),"(a) whether the Government has any plans to construct another secondary school in Liuwa Parliamentary Constituency apart from the Libonda Secondary School; and (b) if so, when the plans will be implemented.",2,,,,0,,,,,10,,,54,,0,0,206,32,1,5.46875,15.730000000000018,19.015000000000004,0.0,0.0,1.0,0.0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,2,education,1,Dr Musokotwane (Liuwa),Liuwa,Musokotwane,Unknown,Unknown,0,0,0,1,11,0,2,4,34,1055.5,1051.5,1291,196,6.586734693877551,44,0,,,0,0,0,0
"Tuesday, 30th March, 2021",https://www.parliament.gov.zm/node/8855,Order Paper,FIFTH SESSION OF THE TWELFTH ASSEMBLY,,,149,Dr Musokotwane (Liuwa),Minister of Housing and Infrastructure Development,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 30),"(a) whether the Government has any plans to construct bridges across the following streams in Liuwa Parliamentary Constituency to enable motorists access Liuwa easily, especially in the rainy season: (i) Luamutu; (ii) Munde; (iii) Lumei; and (iv) Luola; (b) if so, when the plans will be implemented; and (c) if there are no such plans, why.",4,,,,0,,,,,10,,,67,,0,0,341,56,1,5.107142857142857,7.987857142857166,26.057142857142853,0.041,0.064,0.896,-0.0935,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,2,infrastructure,1,Dr Musokotwane (Liuwa),Liuwa,Musokotwane,Unknown,Unknown,0,0,0,1,11,0,4,4,44,1055.5,930.0,1291,196,6.586734693877551,44,0,,,0,0,0,0
"Friday, 5th July, 2019",https://www.parliament.gov.zm/node/7990,Order Paper,THIRD SESSION OF THE TWELFTH ASSEMBLY,,,433,Dr Musokotwane (Liuwa),Minister of Transport and Communication,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 30),(a) who the financiers of the Speed Cameras Project are; (b) what the financing mode for the Project is; and (c) what mechanism will be used for the financiers to recoup their investment.,3,,,,0,,,,,10,,,15,,0,0,187,33,1,4.696969696969697,47.72181818181819,14.801212121212124,0.0,0.0,1.0,0.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,health,0,Dr Musokotwane (Liuwa),Liuwa,Musokotwane,Unknown,Unknown,0,0,0,1,11,0,1,4,14,1055.5,1491.0,1291,196,6.586734693877551,44,0,,,0,0,0,0
"Tuesday, 11th February, 2020",https://www.parliament.gov.zm/node/8277,Order Paper,FOURTH SESSION OF THE TWELFTH ASSEMBLY,,,74,Dr Musokotwane (Liuwa),Minister of General Education,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 30),"(a) what the staff establishment of teachers for all the schools in Liuwa Parliamentary Constituency is; (b) how many teachers there were in the Constituency as of March, 2019; (c) which schools had adequate teachers as per staff establishment; (d) which schools had the least number of teachers; (e) whether there are any schools, in the Western Province, that have more teachers than their staff establishment; and (f) if so, what the names of the schools are.",6,,,,0,,,,,10,,,54,,0,0,462,77,1,5.012987012987013,5.625454545454559,31.603636363636365,0.024,0.016,0.96,0.1724,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,education,1,Dr Musokotwane (Liuwa),Liuwa,Musokotwane,Unknown,Unknown,0,0,0,1,11,0,2,4,34,1055.5,1051.5,1291,196,6.586734693877551,44,0,,,0,0,0,0
